iter	Passed	Remaining
425	1689	2276
426	1692	2271
427	1696	2267
428	1700	2263
429	1704	2259
430	1707	2253
431	1710	2248
432	1713	2244
433	1728	2254
434	1732	2250
435	1742	2254
436	1746	2249
437	1749	2244
438	1753	2240
439	1759	2239
440	1763	2234
441	1770	2234
442	1773	2230
443	1777	2225
444	1780	2220
445	1784	2216
446	1787	2211
447	1790	2206
448	1793	2201
449	1797	2196
450	1814	2209
451	1818	2204
452	1821	2199
453	1824	2194
454	1827	2189
455	1831	2185
456	1835	2180
457	1837	2175
458	1841	2170
459	1844	2164
460	1848	2160
461	1851	2155
462	1854	2151
463	1857	2146
464	1861	2141
465	1865	2137
466	1868	2132
467	1871	2127
468	1875	2123
469	1879	2119
470	1883	2115
471	1887	2110
472	1890	2106
473	1895	2103
474	1899	2099
475	1903	2095
476	1907	2091
477	1912	2088
478	1916	2084
479	1920	2080
480	1923	2075
481	1928	2073
482	1932	2068
483	1936	2064
484	1940	2060
485	1945	2057
486	1949	2053
487	1952	2048
488	1955	2043
489	1960	2040
490	1964	2036
491	1967	2031
492	1971	2026
493	1975	2023
494	1979	2019
495	1983	2015
496	1988	2012
497	1995	2011
498	1998	2006
499	2002	2002
500	2009	2001
501	2012	1996
502	2016	1992
503	2021	1989
504	2027	1986
505	2031	1983
506	2036	1979
507	2042	1977
508	2045	1973
509	2049	1969
510	2053	1965
511	2058	1961
512	2061	1957
513	2065	1952
514	2069	1949
515	2074	1945
516	2077	1940
517	2080	1936
518	2085	1932
519	2090	1930
520	2094	1926
521	2098	1922
522	2104	1919
523	2107	1914
524	2111	1910
525	2116	1907
526	2122	1904
527	2125	1900
528	2129	1895
529	2134	1893
530	2138	1888
531	2141	1883
532	2144	1879
533	2152	1878
534	2155	1873
535	2159	1869
536	2162	1864
537	2167	1861
538	2172	1857
539	2175	1853
540	2180	1850
541	2185	1846
542	2188	1842
543	2192	1837
544	2197	1834
545	2201	1830
546	2205	1826
547	2208	1821
548	2212	1817
549	2217	1814
550	2221	1810
551	2225	1805
552	2230	1803
553	2234	1798
554	2238	1794
555	2242	1790
556	2246	1787
557	2250	1782
558	2254	1778
559	2257	1773
560	2263	1771
