iter	RMSE
144	0.3434739984
145	0.3433269573
146	0.3432387568
147	0.3430782939
148	0.342954551
149	0.3428484844
150	0.3427182282
151	0.3425541375
152	0.3423949544
153	0.3422733101
154	0.3420629053
155	0.3419186498
156	0.3417331715
157	0.3415068197
158	0.3413647086
159	0.3412260447
160	0.3410941039
161	0.3409904827
162	0.3407292298
163	0.3405381337
164	0.3404184836
165	0.3403201498
166	0.3401394109
167	0.3400432443
168	0.33994942
169	0.3398440703
170	0.3397743397
171	0.3396484163
172	0.3395401224
173	0.3394695709
174	0.3393868383
175	0.3392482417
176	0.3391559018
177	0.3389582292
178	0.3388382496
179	0.3387519753
180	0.3386322206
181	0.3385293835
182	0.338403978
183	0.3383369113
184	0.3382577321
185	0.3381631285
186	0.3381031401
187	0.3380218859
188	0.3379290793
189	0.3378437798
190	0.3377633333
191	0.3376413604
192	0.3375936495
193	0.3375125586
194	0.3374182137
195	0.3372869494
196	0.337169881
197	0.33707191
198	0.3369727692
199	0.3368364524
200	0.3367767267
201	0.3366558177
202	0.3365510735
203	0.3364975662
204	0.336403603
205	0.3362019825
206	0.3361240378
207	0.3360447401
208	0.3359934038
209	0.3358634087
210	0.3357059492
211	0.3356057257
212	0.3355226622
213	0.3354712144
214	0.3353754633
215	0.3352536794
216	0.3351482053
217	0.335078772
218	0.3349794008
219	0.3349264729
220	0.3348419212
221	0.3347414197
222	0.3345930765
223	0.334491608
224	0.3344064911
225	0.3342879075
226	0.3341874062
227	0.3341474767
228	0.3340439417
229	0.3339429882
230	0.3338358315
231	0.3337581493
232	0.3335629898
233	0.3334972703
234	0.3334056102
235	0.3333664956
236	0.3332846256
237	0.3331573394
238	0.3330798757
239	0.3329426884
240	0.3328396357
241	0.3326443207
242	0.3325746699
243	0.3324652457
244	0.3323769371
245	0.332259517
246	0.3321765761
247	0.3320069464
248	0.3319066026
249	0.3317967341
250	0.331709929
251	0.3315642113
252	0.3314437844
253	0.3313111032
254	0.331274206
255	0.3310636891
256	0.3310107981
257	0.3309255804
258	0.3308665277
259	0.3307188286
260	0.3306840242
261	0.3305753805
262	0.3304585708
263	0.3303412167
264	0.3302540112
265	0.3301896121
266	0.3301198193
267	0.3300533991
268	0.3299349614
269	0.3298029641
270	0.3296798385
271	0.3294744197
272	0.3293040077
273	0.3291834028
274	0.3291456744
275	0.3289478188
276	0.328832522
277	0.3287502335
278	0.3286713027
279	0.3285853151
280	0.3284882753
281	0.3284553166
282	0.328306429
283	0.3281876214
284	0.3280089389
285	0.3279405701
286	0.3278408583
287	0.3277377875
288	0.3276252405
289	0.3275540577
290	0.3274384818
291	0.3273457547
292	0.3272750494
293	0.3271067374
294	0.3269667181
295	0.3268069628
296	0.3267377118
297	0.3266933392
298	0.3266352522
299	0.3265223919
300	0.32639675
301	0.3262934349
302	0.3262249139
303	0.3261830111
304	0.3261134913
305	0.326010709
306	0.3258483239
307	0.3257642335
308	0.3256460869
309	0.3255570754
310	0.3254838172
311	0.3253784536
312	0.3252507413
313	0.325150543
314	0.3250916716
315	0.3250210253
316	0.3248897477
317	0.3248440902
318	0.324787248
319	0.3247333992
320	0.3247077734
321	0.3246641512
322	0.3246034417
323	0.3244182297
324	0.3242751404
325	0.3242181615
326	0.3241417844
327	0.324105604
328	0.3239974194
329	0.3238263513
330	0.3237603489
331	0.323656862
332	0.3235729835
333	0.3234249309
334	0.3233010246
335	0.3232465839
336	0.323186221
337	0.3230841623
338	0.3229711608
339	0.3229096644
340	0.322736063
341	0.3226687392
342	0.3225709855
343	0.3225059477
344	0.322448013
345	0.3223958475
346	0.3223706675
347	0.3222870472
348	0.3222540011
349	0.3222208638
350	0.3220848798
351	0.3219596321
352	0.3218202284
353	0.3217234905
354	0.3216602842
355	0.321585802
356	0.3214761347
357	0.321370164
358	0.3212770257
359	0.3211888975
360	0.3211304434
361	0.3210726617
362	0.3209753225
363	0.3208978686
364	0.3207738702
365	0.3206913505
366	0.3205522348
367	0.3205124273
368	0.3203661408
369	0.3203286339
370	0.32022378
371	0.3201953803
372	0.3201251077
373	0.3200563394
374	0.319983
375	0.3198926293
376	0.3197785279
377	0.319662208
378	0.3195238072
379	0.3194312214
380	0.3193844244
381	0.3192959546
382	0.3191557368
383	0.3190997716
384	0.3189861884
385	0.3189524429
386	0.3189005565
387	0.3188341483
388	0.318718304
389	0.3186076494
390	0.3185034483
391	0.3183408516
392	0.3183221079
393	0.3182195438
394	0.3181413894
395	0.3180533156
396	0.317964755
397	0.317850551
398	0.3177385634
399	0.3177102267
400	0.3175107252
401	0.3174271361
402	0.3173588077
403	0.3173266306
404	0.3172534576
405	0.3172357071
406	0.3171259614
407	0.3170479705
408	0.3170206659
409	0.316937766
410	0.3168649755
411	0.3167609479
412	0.3167088577
413	0.3166007387
414	0.316544522
415	0.3164945314
416	0.3163280476
417	0.3162130694
418	0.3161176802
419	0.3160548683
420	0.3159373678
421	0.3158616298
422	0.315819127
423	0.3157203872
424	0.3156260707
425	0.3155810056
426	0.3155038664
427	0.3154061113
428	0.3153328609
429	0.3153165243
430	0.3152701065
431	0.3152398359
432	0.3151349337
433	0.3150335764
434	0.3149590006
435	0.3148654884
436	0.3147452811
437	0.3146006728
438	0.3145001527
439	0.314405706
440	0.3143467244
441	0.3142238506
442	0.3141287994
443	0.314055665
444	0.3140027491
445	0.313962209
446	0.3139327886
447	0.3138230679
448	0.3137427229
449	0.3136683643
450	0.3135514752
451	0.3134411302
452	0.313356591
453	0.3133032963
454	0.313254642
455	0.3131681811
456	0.3130377134
457	0.3129384132
458	0.3128701828
459	0.3127764763
460	0.312699294
461	0.3126425152
462	0.3125322301
463	0.3124659439
464	0.3123462694
465	0.3123246429
466	0.3122403729
467	0.3121581992
468	0.312056724
469	0.3120261922
470	0.3119717484
471	0.3118948419
472	0.3118277616
473	0.3117517787
474	0.3116703253
475	0.311561821
476	0.3115107473
477	0.3113870378
478	0.3113068853
479	0.3112687179
480	0.3111811952
481	0.3111431754
482	0.3110908154
483	0.3110551139
484	0.3109802612
485	0.3108815549
486	0.3108096531
487	0.310746114
488	0.3106257349
489	0.3105613824
490	0.3105042624
491	0.3103786123
492	0.31034607
493	0.3102664636
494	0.3102164325
495	0.3101318429
496	0.3100065946
497	0.3099217641
498	0.3099080075
499	0.3098621164
500	0.3098234339
501	0.3097798542
502	0.3097234606
503	0.3096647154
504	0.3095864409
505	0.3095507168
506	0.3094505145
507	0.3093706063
508	0.3092631641
509	0.3091751509
510	0.3091115093
511	0.3090457091
512	0.3090166922
513	0.3089304361
514	0.3088651083
515	0.3088096721
516	0.3087624501
517	0.3087249663
518	0.3087102462
519	0.3086409057
520	0.308566166
521	0.3084328954
522	0.3083421704
523	0.3082339888
524	0.3081744154
525	0.308071191
526	0.3079918049
527	0.307942378
528	0.307840285
529	0.3077278879
530	0.3076697672
531	0.3075668278
532	0.3074904511
533	0.307386702
534	0.3073215978
535	0.3072368882
536	0.3072110483
537	0.3071455888
538	0.3070872144
539	0.3070273787
540	0.3070147153
541	0.3069345189
542	0.3068569405
543	0.3067677737
544	0.3066978338
545	0.3066361755
546	0.3065742914
547	0.3064695453
548	0.3064086405
549	0.3062993674
550	0.3062525009
551	0.3061978372
552	0.3060919501
553	0.3059873635
554	0.3059065124
555	0.3058643143
556	0.3057865406
557	0.3057479589
558	0.305636513
559	0.3055495928
560	0.3055008992
561	0.305402401
562	0.3053554792
563	0.3052291836
564	0.3051520139
565	0.3050952704
566	0.3050283887
567	0.3049460768
568	0.3048784415
569	0.304806018
570	0.3047390828
571	0.3046741358
572	0.3046518403
573	0.3045958573
574	0.3045317826
575	0.3044587987
576	0.3043247168
577	0.3042570467
578	0.3042076588
579	0.3041730195
580	0.3041232373
581	0.3040752733
582	0.3040522467
583	0.3040067593
584	0.3039951034
585	0.3038987633
586	0.3038502443
587	0.3037504767
588	0.3036831362
589	0.3036055495
590	0.3035441764
591	0.303478471
592	0.3033799315
593	0.3032862614
594	0.3032110477
595	0.3031643451
596	0.3031417104
597	0.3030552887
598	0.3030046909
599	0.3029440414
600	0.3028929496
601	0.302776955
602	0.3027576304
603	0.3026932994
604	0.3026676873
605	0.3026094209
606	0.3025680983
607	0.3025361425
608	0.3024832703
609	0.3024221941
610	0.3023722769
611	0.3023068175
612	0.3022525976
613	0.3021838301
614	0.3021395361
615	0.3020647855
616	0.3019857109
617	0.3019189674
618	0.3018728513
619	0.3018313589
620	0.3017580856
621	0.3016689434
622	0.3015658084
623	0.3014338977
624	0.3013373988
625	0.3012528573
626	0.3012349055
627	0.3011670061
628	0.3011565252
629	0.3011190457
630	0.3010456714
631	0.300936377
632	0.3008653388
633	0.3008555008
634	0.3007482438
635	0.3007283341
636	0.3007047301
637	0.3006049117
638	0.3005951926
639	0.3005150649
640	0.3004421295
641	0.3003868988
642	0.3002913251
643	0.3001721602
644	0.3000090308
645	0.2999531522
646	0.2998982293
647	0.2998356657
648	0.2997380084
649	0.2996431022
650	0.2995940499
651	0.2995053029
652	0.2994063536
653	0.2993361331
654	0.2992484941
655	0.2991967645
656	0.2990876221
657	0.299053763
658	0.2990078865
659	0.2989529502
660	0.2989098855
661	0.2988933762
662	0.298798665
663	0.2986992648
664	0.2986179163
665	0.2985572028
666	0.2984990546
667	0.2984450653
668	0.298382733
669	0.2983486239
670	0.2983327153
671	0.2982925438
672	0.2982564451
673	0.2981743258
674	0.2981303553
675	0.2980601374
676	0.2979608525
677	0.2979387157
678	0.2978681371
679	0.2977982728
680	0.2977572111
681	0.2976687151
682	0.2976286254
683	0.2975627105
684	0.2974840517
685	0.2974628817
686	0.297422595
687	0.2974140418
688	0.2973619802
689	0.2973306954
690	0.2972473702
691	0.2971940263
692	0.2970979751
693	0.2970673186
694	0.2969684975
695	0.2969166427
696	0.2968634649
697	0.2967965689
698	0.2966666207
699	0.2965945854
700	0.2965638005
701	0.2964761416
702	0.2964235838
703	0.2963687229
704	0.2963044514
705	0.2962403453
706	0.2961687832
707	0.2961056573
708	0.2960518355
709	0.2960123436
710	0.2958959488
711	0.2958676336
712	0.2958240109
713	0.2957764684
714	0.295726797
715	0.2956384902
716	0.2955858167
717	0.2955095685
718	0.2954242396
719	0.2953393412
720	0.2952836194
721	0.2951739025
722	0.295072911
723	0.2950016827
724	0.2949724362
725	0.294937828
726	0.2949101696
727	0.2948412245
728	0.2947898556
729	0.2947716175
730	0.2947069519
731	0.2946112038
732	0.2945498033
733	0.2944536095
734	0.2943537764
735	0.2943131563
736	0.2942467192
737	0.2942174725
738	0.2941218847
739	0.2940287544
740	0.2939718672
741	0.293925319
742	0.2938613925
743	0.2938569586
744	0.293770975
745	0.2937129033
746	0.2936921508
747	0.2936407356
748	0.2935972727
749	0.293524298
750	0.2934840444
751	0.2934151764
752	0.2933394307
753	0.2932920553
754	0.2932341236
755	0.2931571503
756	0.2931224076
757	0.2930686502
758	0.2930065745
759	0.2929383514
760	0.2928572091
761	0.2927916348
762	0.2927230047
763	0.2926807308
764	0.2926143962
765	0.2926003162
766	0.2925623452
767	0.2925063697
768	0.2924602346
769	0.2924256836
770	0.2923555671
771	0.2923021827
772	0.2922481156
773	0.2922046967
774	0.2921255725
775	0.2920395862
776	0.2919429999
777	0.2918809353
778	0.2918037998
779	0.2917658296
780	0.2917383917
781	0.2916749963
782	0.2916160012
783	0.291579894
784	0.2915331674
785	0.2915183052
786	0.2914691476
787	0.2913985827
788	0.29136312
789	0.29128036
790	0.2912367979
791	0.2911834101
792	0.2911674358
793	0.2911560151
794	0.2911214637
795	0.2910696161
796	0.2910283876
797	0.2909432181
798	0.2908533231
799	0.2907815331
800	0.2907153208
801	0.2906440071
802	0.2906123488
803	0.2905369072
804	0.2904664299
805	0.2904368209
806	0.2903809233
807	0.2903136815
808	0.2902746402
809	0.2902708683
810	0.2901817761
811	0.2900890058
812	0.2900280042
813	0.2899451801
814	0.2898642587
815	0.2897876095
816	0.2897047583
817	0.2896324895
818	0.289528235
819	0.2894633119
820	0.2894032204
821	0.2893455271
822	0.2892410082
823	0.2891572291
824	0.2891422046
825	0.289099714
826	0.2890216709
827	0.2889930269
828	0.2888976675
829	0.288831446
830	0.2887312927
831	0.2886427741
832	0.2886278349
833	0.2885532859
834	0.2885019774
835	0.2884225139
836	0.2883491882
837	0.2882950915
838	0.2881891001
839	0.2881312193
840	0.28809318
841	0.2880226604
842	0.2879904815
843	0.2879819635
844	0.287895642
845	0.2878118323
846	0.287789757
847	0.287768424
848	0.2877266466
849	0.2876742388
850	0.2876256824
851	0.2875867969
852	0.2875227065
853	0.2874809753
854	0.2874386248
855	0.2873891107
856	0.2873307729
857	0.2872604438
858	0.2872097624
859	0.2871354501
860	0.2871010542
861	0.2870662928
862	0.2869709088
863	0.2868758559
864	0.2868124908
865	0.286801155
866	0.2867578841
867	0.2866924858
868	0.2866717925
869	0.2866128807
870	0.2866011232
871	0.2865563766
872	0.2865084732
873	0.2864407505
874	0.2863526352
875	0.2863396644
876	0.28628112
877	0.2862518464
878	0.2862232668
879	0.2861368444
880	0.286098942
881	0.2860384458
882	0.2859391045
883	0.2858834858
884	0.285842032
885	0.2857994876
886	0.2857065606
887	0.2856604179
888	0.2856287797
889	0.2855818777
890	0.2855738207
891	0.2855347889
892	0.2854724002
893	0.285458978
894	0.2854317421
895	0.2853554942
896	0.2853429967
897	0.2852656532
898	0.2851947118
899	0.2850905569
900	0.2849979919
901	0.2849644516
902	0.2849358507
903	0.2848525098
904	0.2848247248
905	0.284785702
906	0.2847751403
907	0.2847350076
908	0.2846554071
909	0.2845932863
910	0.284514936
911	0.2844276538
912	0.2843656477
913	0.2843051318
914	0.2842645909
915	0.2842024128
916	0.284137534
917	0.2840712662
918	0.2839959721
919	0.283958556
920	0.2839252826
921	0.2838708067
922	0.2838191124
923	0.2837554335
924	0.2836923441
925	0.2836218286
926	0.2835736453
927	0.2835098421
928	0.2834478154
929	0.2833700167
930	0.2832685633
931	0.2831624262
932	0.2830664828
933	0.2830238039
934	0.2829530527
935	0.2828697322
936	0.2828503516
937	0.2827768947
938	0.2826991534
939	0.2826482198
940	0.2825314685
941	0.2824926451
942	0.282430897
943	0.2824124037
944	0.2823277951
945	0.282247096
946	0.2822118627
947	0.2821994817
948	0.2820919141
949	0.2820442676
950	0.2820139767
951	0.2819656541
952	0.281902868
953	0.2818306951
954	0.2817932454
955	0.2817544783
956	0.2816857638
957	0.2816337677
958	0.2816064336
959	0.2815603465
960	0.2815068895
961	0.2814659001
962	0.2814155905
963	0.2813854703
964	0.2813583559
965	0.2813172261
966	0.2813092293
967	0.2812814618
968	0.2812251231
969	0.2811510169
970	0.2811360725
971	0.2810468939
972	0.2809790132
973	0.2809455684
974	0.2808962373
975	0.2808533536
976	0.2808331316
977	0.2807791201
978	0.2807375098
979	0.2806799393
980	0.2806735629
981	0.2806156525
982	0.2805291948
983	0.2804364101
984	0.2803401837
985	0.2802801041
986	0.2802142668
987	0.280130273
988	0.2801174375
989	0.2800559365
990	0.2800266412
991	0.2799562213
992	0.2799244114
993	0.2798658047
994	0.2798120482
995	0.2797499727
996	0.2797004649
997	0.279674299
998	0.2796631983
999	0.2795609749
